Object1,Object2,Distance,Collision
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9848919826852504,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8833984018573877,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7903262681196316,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8762435030356133,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9452063932334942,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9713689156737362,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6216922209285609,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6975948329777273,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.911471860750194,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7642446668739317,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8698294886965914,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8369242850921564,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7226609421294458,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7940580464314433,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8094236541576069,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9049908495737325,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9866260317879869,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7377961101177738,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8096346814752102,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8840197252870899,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6670197089677986,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.39687872818746256,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7630989282795646,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7647192695788093,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8143305111337199,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9075884388756984,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9701848319827558,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8252868243748831,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9426062709397756,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9990320755145373,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.756953163212004,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8545896354975587,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.831954174467238,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7563782418026225,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8445088850515418,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9844768734361475,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.443455619500662,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9530522683313085,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9478334480596187,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9488787754270849,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8823232847266395,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9728728300053846,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9949025351614122,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9031652187977701,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9863759472089549,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8168734976162787,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6974098786439784,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5604793743965982,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5766790972340604,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6850777248471516,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9113149027909987,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7086624384644512,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7275405916424937,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8516069112069041,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9769990049601538,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9303740446653093,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9437741090843019,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.07176615088787736,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7313410683819367,True
